,0,1
451,shot,201
452,past,201
453,playing,200
454,needed,200
455,bright,200
456,ways,199
457,perfect,199
458,broke,199
459,singing,198
460,giving,198
461,everyone,198
462,clear,198
463,lovers,197
464,brother,197
465,shawty,196
466,sight,195
467,loud,195
468,dead,195
469,burning,195
470,ridin,194
471,nowhere,194
472,upon,192
473,shell,192
474,hang,192
475,okay,191
476,kids,191
477,taste,190
478,funk,190
479,clothes,190
480,taking,189
481,smoke,189
482,near,188
483,million,188
484,band,188
485,finally,187
486,calling,187
487,blind,187
488,women,186
489,heat,186
490,fresh,186
491,angel,186
492,single,185
493,crying,185
494,carry,185
495,mess,184
496,follow,184
497,chick,184
498,knees,183
499,river,182
500,outside,182
501,known,182
502,scared,180
503,looked,180
504,five,180
505,across,180
506,school,179
507,different,179
508,pray,178
509,style,177
510,read,177
511,breathe,177
512,leaving,176
513,whip,175
514,funny,175
515,special,174
516,playin,174
517,freak,174
518,tear,173
519,rollin,172
520,fallin,172
521,clean,172
522,window,171
523,story,171
524,givin,171
525,four,171
526,fill,171
527,whenever,170
528,wear,170
529,wall,170
530,looks,170
531,sayin,168
532,outta,168
533,happen,168
534,lead,167
535,sunshine,166
536,songs,166
537,funky,165
538,count,165
539,rockin,164
540,rather,164
541,pick,164
542,movin,164
543,radio,163
544,fuckin,163
545,fear,163
546,almost,163
547,write,161
548,tryna,161
549,thousand,161
550,realize,161
551,flow,161
552,bounce,161
553,sign,160
554,doubt,160
555,stuff,159
556,shorty,159
557,secret,159
558,west,158
559,lives,158
560,streets,157
561,spot,157
562,mouth,157
563,thoia,156
564,knock,156
565,darlin,156
566,voice,155
567,yellow,154
568,shoes,154
569,momma,154
570,answer,154
571,stuck,153
572,peace,153
573,miles,153
574,handle,153
575,stone,152
576,hood,152
577,dancin,152
578,wine,151
579,picture,151
580,mother,151
581,green,151
582,diamonds,151
583,sittin,149
584,missing,149
585,dick,149
586,send,148
587,roof,147
588,whatcha,146
589,somehow,146
590,shame,146
591,remind,146
592,memories,145
593,means,145
594,ahead,145
595,push,144
596,piece,144
597,turning,143
598,less,143
599,land,143
600,hello,143
601,laugh,142
602,games,142
603,ball,142
604,sick,141
605,pride,141
606,meaning,141
607,kill,141
608,dress,141
609,burnin,141
610,bottom,141
611,york,139
612,trouble,139
613,pussy,139
614,skin,138
615,shut,138
616,harder,138
617,tough,137
618,tellin,137
619,hips,137
