,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
2343,58,8,5.0,21,37.66,59.76,0
2344,179,28,18.2,60,42.49,67.41,0
2345,75,3,2.6,60,11.03,17.5,0
2346,166,18,12.4,55,66.87,106.1,0
2347,58,5,3.0,42,16.75,26.57,0
2348,49,6,4.4,21,2.99,4.74,0
2349,92,10,6.4,34,40.25,63.87,0
2350,83,7,5.4,41,32.45,51.49,0
2351,86,6,4.0,54,29.79,47.26,0
2352,97,10,5.6,56,28.63,45.43,0
2353,165,23,7.8,98,43.21,68.56,0
2354,73,39,10.6,22,93.77,148.77,0
2355,99,14,6.4,49,29.91,47.46,0
2356,94,4,4.0,67,9.42,14.95,0
2357,100,11,6.2,60,12.38,19.64,0
2358,147,30,16.4,34,26.3,41.73,0
2359,98,9,6.0,47,28.72,45.57,0
2360,107,7,6.4,67,28.49,45.21,0
2361,80,8,5.6,34,19.55,31.01,0
2362,62,10,6.2,25,6.4,10.16,0
2363,47,4,2.6,38,5.08,8.06,0
2364,48,5,3.2,34,14.55,23.08,0
2365,55,4,2.8,38,12.0,19.03,0
2366,108,4,2.6,92,9.96,15.8,0
2367,119,9,7.6,52,31.31,49.67,0
2368,71,8,4.8,48,13.96,22.15,0
2369,194,15,10.2,111,25.43,40.34,0
2370,97,5,3.6,64,29.31,46.5,0
2371,54,10,5.2,32,46.06,73.08,0
2372,189,29,20.0,41,25.77,40.89,0
2373,60,9,3.6,44,17.99,28.55,0
2374,71,6,2.8,52,8.11,12.87,0
2375,216,30,17.0,89,15.5,24.59,0
2376,59,9,4.2,42,28.3,44.9,0
2377,72,6,4.6,42,7.44,11.8,0
2378,99,4,3.2,71,19.52,30.98,0
2379,80,4,2.8,71,7.09,11.25,0
2380,52,5,4.0,37,11.61,18.42,0
2381,72,6,4.8,45,10.79,17.13,0
2382,150,17,10.8,69,65.35,103.69,0
2383,69,7,5.8,26,29.15,46.25,0
2384,119,11,7.2,47,34.97,55.48,0
2385,72,5,3.0,51,25.48,40.43,0
2386,48,3,2.2,33,6.88,10.91,0
2387,72,3,3.0,50,27.4,43.47,0
2388,74,2,2.0,66,17.05,27.05,0
2389,87,16,10.0,28,22.35,35.46,0
2390,125,20,8.6,63,18.6,29.51,0
2391,130,21,12.0,43,71.45,113.35,0
2392,68,3,3.0,37,9.78,15.51,0
2393,126,13,9.6,80,28.97,45.96,0
2394,23,2,1.4,21,1.59,2.53,0
2395,63,2,1.8,59,3.45,5.48,0
2396,138,27,15.4,28,8.55,13.57,0
2397,109,14,9.6,51,19.84,31.48,0
2398,72,6,5.8,31,33.9,53.78,0
2399,59,10,6.8,21,30.37,48.18,0
2400,89,10,4.6,71,21.57,34.22,0
2401,139,5,4.0,91,15.72,24.93,0
2402,63,14,6.4,27,4.73,7.5,0
2403,39,5,3.6,25,5.74,9.11,0
2404,78,3,2.6,67,13.46,21.36,0
2405,86,3,2.6,73,16.42,26.04,0
2406,112,15,7.2,74,14.89,23.63,0
2407,142,4,3.2,110,28.36,44.99,0
2408,142,8,6.0,98,42.55,67.51,0
2409,125,8,4.6,93,41.23,65.42,0
2410,104,6,4.4,73,39.04,61.95,0
2411,36,6,3.2,23,8.87,14.07,0
2412,62,3,3.0,49,2.3,3.66,0
2413,68,6,2.8,59,4.55,7.22,0
2414,80,28,8.8,36,5.8,9.21,0
2415,85,35,9.2,40,8.27,13.12,0
2416,151,10,6.8,65,42.73,67.8,0
2417,131,19,6.6,65,44.17,70.08,0
2418,73,7,4.6,50,6.42,10.18,0
2419,45,5,2.6,37,4.65,7.37,0
2420,212,23,11.6,126,48.37,76.74,0
2421,123,12,10.6,30,52.8,83.77,0
2422,79,5,4.0,46,16.41,26.04,0
2423,60,6,4.6,34,17.66,28.02,0
2424,92,10,6.0,63,6.92,10.97,0
2425,39,2,1.4,37,9.54,15.14,0
2426,74,5,2.8,60,13.6,21.57,0
2427,124,7,4.8,72,49.46,78.48,0
2428,208,24,14.0,54,77.34,122.7,0
2429,144,9,7.0,85,41.63,66.05,0
