,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
3190,211,37,19.8,79,46.36,73.55,1
3191,205,32,13.4,76,41.49,65.83,1
3192,76,6,4.0,52,27.35,43.4,1
3193,87,8,5.2,44,20.22,32.07,1
3194,328,15,8.0,245,75.3,119.46,1
3195,137,49,15.4,50,66.13,104.93,1
3196,247,7,5.4,169,51.66,81.97,1
3197,60,5,3.2,43,27.9,44.27,1
3198,202,18,16.8,87,77.01,122.18,1
3199,156,15,8.8,86,35.23,55.89,1
3200,121,14,9.4,59,40.74,64.64,1
3201,171,9,8.2,90,58.08,92.14,1
3202,84,5,4.6,49,31.83,50.49,1
3203,250,44,17.4,112,71.96,114.17,1
3204,136,5,5.0,83,34.19,54.24,1
3205,55,5,3.4,39,21.43,34.0,1
3206,133,10,8.8,53,47.31,75.06,1
3207,159,16,9.0,70,48.53,76.99,1
3208,115,26,11.4,57,90.33,143.31,1
3209,165,15,9.4,51,20.58,32.65,1
3210,136,4,2.8,114,18.34,29.1,1
3211,170,20,13.6,70,64.57,102.44,1
3212,317,17,8.2,211,51.36,81.48,1
3213,159,13,6.6,87,50.79,80.59,1
3214,126,42,11.6,65,40.74,64.63,1
3215,166,8,5.8,88,19.33,30.66,1
3216,152,30,10.0,57,102.81,163.12,1
3217,401,46,26.8,164,180.6,286.54,1
3218,169,8,7.4,70,51.12,81.11,1
3219,122,10,8.6,46,37.1,58.87,1
3220,115,12,9.0,48,34.31,54.44,1
3221,60,5,4.4,35,22.32,35.41,1
3222,88,10,6.8,37,33.48,53.11,1
3223,69,18,6.8,36,24.16,38.33,1
3224,66,6,4.6,43,29.45,46.72,1
3225,104,6,4.6,48,40.67,64.53,1
3226,268,16,11.4,139,87.68,139.1,1
3227,75,7,5.8,43,18.93,30.04,1
3228,93,10,6.2,57,10.89,17.27,1
3229,115,13,8.2,58,69.31,109.96,1
3230,111,7,3.8,82,26.05,41.34,1
3231,213,17,11.2,75,90.52,143.62,1
3232,153,11,8.8,77,25.53,40.51,1
3233,127,10,6.8,70,40.99,65.03,1
3234,131,16,7.4,86,23.78,37.74,1
3235,337,37,20.0,121,64.15,101.77,1
3236,148,25,12.6,68,13.56,21.51,1
3237,201,43,22.2,43,53.76,85.31,1
3238,68,4,3.2,55,18.76,29.76,1
3239,122,31,16.8,33,55.66,88.31,1
3240,313,36,21.0,83,121.19,192.28,1
3241,173,24,9.6,91,46.59,73.93,1
3242,121,15,6.6,61,42.27,67.06,1
3243,258,7,6.0,205,42.28,67.08,1
3244,68,7,5.2,36,30.21,47.92,1
3245,82,8,5.4,53,38.72,61.43,1
3246,161,18,11.4,68,71.8,113.92,1
3247,122,10,6.2,68,17.06,27.07,1
3248,241,4,4.0,183,42.02,66.67,1
3249,162,18,13.8,67,83.97,133.22,1
3250,122,16,11.0,47,18.62,29.54,1
3251,73,10,7.6,23,21.72,34.47,1
3252,94,6,3.4,73,14.58,23.14,1
3253,91,8,5.0,51,38.88,61.68,1
3254,37,3,2.2,31,8.03,12.74,1
3255,201,12,8.6,95,62.22,98.71,1
3256,251,32,21.4,100,52.74,83.67,1
3257,94,8,6.6,55,25.75,40.86,1
3258,91,20,7.8,38,13.15,20.87,1
3259,122,18,8.8,57,23.99,38.05,1
3260,99,15,6.2,52,24.0,38.08,1
3261,114,9,6.8,36,31.38,49.79,1
3262,140,6,5.8,75,34.95,55.45,1
3263,85,12,6.0,54,32.94,52.26,1
3264,165,36,13.4,46,40.18,63.75,1
3265,169,15,10.8,74,54.18,85.96,1
3266,59,7,3.6,41,15.73,24.95,1
3267,260,14,11.8,97,70.17,111.33,1
3268,68,10,6.2,39,14.92,23.67,1
3269,126,21,8.4,54,16.08,25.51,1
3270,80,7,6.0,36,44.92,71.26,1
3271,306,19,18.2,117,53.27,84.52,1
3272,127,27,18.6,27,23.21,36.82,1
3273,295,11,9.0,185,65.18,103.42,1
3274,105,7,4.4,59,15.21,24.14,1
3275,83,7,5.0,50,11.96,18.97,1
3276,96,9,7.2,48,50.35,79.88,1
3277,257,30,16.0,106,90.0,142.8,1
3278,130,22,9.8,42,48.62,77.13,1
3279,217,28,18.2,65,76.32,121.09,1
3280,185,37,23.0,66,142.28,225.74,1
3281,124,20,9.6,55,24.17,38.35,1
3282,87,16,9.4,41,33.97,53.89,1
3283,151,24,17.2,48,51.08,81.04,1
3284,72,5,3.4,60,9.69,15.38,1
3285,138,16,12.2,60,45.53,72.24,1
3286,191,15,10.0,58,20.97,33.27,1
3287,201,12,8.8,121,23.33,37.02,1
3288,106,11,9.0,38,45.91,72.84,1
3289,124,20,15.0,40,57.37,91.02,1
3290,116,8,3.8,94,15.3,24.27,1
3291,152,42,19.0,50,33.36,52.93,1
3292,193,12,10.6,66,61.07,96.89,1
3293,62,15,6.2,35,47.32,75.07,1
3294,139,8,6.4,57,42.76,67.85,1
3295,106,11,8.2,52,42.34,67.18,1
3296,128,13,9.4,47,64.71,102.68,1
3297,285,58,23.0,97,92.51,146.77,1
3298,55,6,4.8,28,25.88,41.07,1
3299,160,19,8.2,68,38.41,60.94,1
3300,138,24,11.8,68,50.53,80.16,1
3301,228,10,8.0,132,53.44,84.78,1
3302,150,16,9.8,58,71.5,113.44,1
3303,106,14,7.6,54,22.12,35.09,1
3304,70,8,5.4,35,23.51,37.29,1
3305,69,6,4.4,42,14.22,22.55,1
3306,141,16,9.6,51,48.76,77.37,1
3307,123,13,10.0,59,28.73,45.58,1
3308,156,40,14.2,64,21.21,33.65,1
3309,153,6,4.8,108,26.65,42.29,1
3310,117,16,8.2,53,22.31,35.39,1
3311,64,13,6.4,29,17.7,28.09,1
3312,158,7,5.4,88,31.72,50.32,1
3313,220,18,12.8,62,91.54,145.23,1
3314,173,20,17.6,49,79.81,126.62,1
3315,113,12,12.0,26,32.44,51.48,1
3316,75,12,8.4,16,46.25,73.38,1
3317,61,7,4.0,41,16.75,26.58,1
3318,86,4,3.0,70,18.86,29.92,1
3319,291,13,8.8,157,49.39,78.37,1
3320,136,15,8.0,61,59.83,94.92,1
3321,85,24,8.6,30,17.49,27.75,1
3322,62,8,4.8,30,17.58,27.89,1
3323,366,13,9.4,232,90.27,143.22,1
3324,142,8,7.0,50,61.64,97.8,1
3325,113,20,8.6,49,28.36,45.0,1
3326,233,16,10.6,126,59.12,93.79,1
3327,110,12,7.0,58,16.21,25.72,1
3328,166,18,10.6,97,85.1,135.02,1
3329,31,14,5.0,10,6.18,9.8,1
3330,69,4,2.8,38,14.13,22.42,1
3331,131,47,13.4,41,31.34,49.71,1
3332,252,24,14.6,108,53.48,84.86,1
3333,111,10,6.4,61,49.42,78.41,1
3334,97,10,4.8,65,24.61,39.04,1
3335,59,5,3.4,33,22.45,35.61,1
3336,250,10,8.4,179,59.02,93.64,1
3337,249,12,9.2,130,66.67,105.78,1
3338,143,19,12.2,69,35.11,55.7,1
3339,55,5,3.6,39,9.39,14.9,1
3340,104,5,3.8,73,22.89,36.31,1
3341,192,7,4.8,121,36.52,57.94,1
3342,88,8,4.6,55,27.87,44.22,1
3343,222,7,5.8,120,68.83,109.2,1
3344,104,22,8.2,39,8.98,14.25,1
3345,120,13,8.8,50,33.93,53.83,1
3346,155,15,9.2,53,64.11,101.72,1
3347,356,59,29.2,174,123.61,196.11,1
3348,146,10,6.6,97,29.1,46.17,1
3349,119,7,5.2,69,23.2,36.8,1
3350,68,9,7.0,29,27.11,43.01,1
3351,78,3,2.4,68,10.54,16.72,1
3352,64,11,6.2,37,17.66,28.01,1
3353,113,9,6.2,57,23.25,36.88,1
3354,149,45,16.4,55,53.95,85.59,1
3355,263,32,25.2,68,71.4,113.28,1
3356,139,14,12.6,48,36.29,57.58,1
3357,107,5,3.4,65,31.89,50.59,1
3358,131,18,11.0,50,79.61,126.31,1
3359,81,6,4.4,58,19.11,30.33,1
3360,170,22,15.2,62,28.17,44.69,1
3361,230,45,26.8,53,59.04,93.67,1
3362,191,15,12.8,55,70.2,111.38,1
3363,141,14,10.2,43,62.79,99.62,1
3364,173,16,9.8,64,49.63,78.75,1
3365,89,12,6.6,41,18.76,29.77,1
3366,154,9,5.8,80,27.53,43.67,1
3367,127,7,4.6,77,35.18,55.81,1
3368,261,10,6.6,147,49.65,78.77,1
3369,176,16,10.2,79,47.53,75.41,1
3370,56,4,3.6,40,15.68,24.88,1
3371,92,9,5.6,47,23.97,38.03,1
3372,288,17,13.2,160,75.71,120.12,1
3373,94,7,5.6,54,26.77,42.47,1
3374,78,11,5.6,49,27.65,43.87,1
3375,60,5,3.2,48,8.86,14.05,1
3376,204,27,16.2,85,47.12,74.76,1
